"","class","tw","venue"
"387","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"388","bat","Royal Challengers Bangalore","Rajiv Gandhi International Stadium, Uppal"
"389","field","Kolkata Knight Riders","Sawai Mansingh Stadium"
"390","bat","Mumbai Indians","Wankhede Stadium"
"391","field","Chennai Super Kings","Punjab Cricket Association Stadium, Mohali"
"392","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"393","bat","Rajasthan Royals","Subrata Roy Sahara Stadium"
"394","bat","Delhi Daredevils","Feroz Shah Kotla"
"395","bat","Mumbai Indians","Wankhede Stadium"
"396","field","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"397","bat","Kolkata Knight Riders","Eden Gardens"
"398","field","Rajasthan Royals","Sawai Mansingh Stadium"
"399","bat","Pune Warriors","MA Chidambaram Stadium, Chepauk"
"400","field","Kolkata Knight Riders","Punjab Cricket Association Stadium, Mohali"
"401","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"402","field","Pune Warriors","Subrata Roy Sahara Stadium"
"403","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"404","bat","Chennai Super Kings","Feroz Shah Kotla"
"405","bat","Kings XI Punjab","Rajiv Gandhi International Stadium, Uppal"
"406","bat","Kolkata Knight Riders","Eden Gardens"
"407","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"408","bat","Mumbai Indians","Feroz Shah Kotla"
"409","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"410","bat","Rajasthan Royals","MA Chidambaram Stadium, Chepauk"
"411","field","Pune Warriors","M Chinnaswamy Stadium"
"412","field","Delhi Daredevils","Himachal Pradesh Cricket Association Stadium"
"413","bat","Kolkata Knight Riders","Eden Gardens"
"414","bat","Sunrisers Hyderabad","MA Chidambaram Stadium, Chepauk"
"415","bat","Kings XI Punjab","Eden Gardens"
"416","bat","Sunrisers Hyderabad","Sawai Mansingh Stadium"
"417","bat","Mumbai Indians","Wankhede Stadium"
"418","field","Kolkata Knight Riders","MA Chidambaram Stadium, Chepauk"
"419","field","Pune Warriors","Shaheed Veer Narayan Singh International Stadium"
"420","field","Rajasthan Royals","Sawai Mansingh Stadium"
"421","bat","Mumbai Indians","Wankhede Stadium"
"422","bat","Chennai Super Kings","Subrata Roy Sahara Stadium"
"423","bat","Mumbai Indians","Rajiv Gandhi International Stadium, Uppal"
"424","bat","Kolkata Knight Riders","Shaheed Veer Narayan Singh International Stadium"
"425","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"426","bat","Royal Challengers Bangalore","Subrata Roy Sahara Stadium"
"427","bat","Rajasthan Royals","Eden Gardens"
"428","bat","Delhi Daredevils","Rajiv Gandhi International Stadium, Uppal"
"429","field","Kings XI Punjab","M Chinnaswamy Stadium"
"430","bat","Mumbai Indians","Wankhede Stadium"
"431","bat","Pune Warriors","Sawai Mansingh Stadium"
"432","bat","Sunrisers Hyderabad","M Chinnaswamy Stadium"
"433","bat","Delhi Daredevils","Sawai Mansingh Stadium"
"434","bat","Mumbai Indians","Wankhede Stadium"
"435","field","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"436","field","Rajasthan Royals","Punjab Cricket Association Stadium, Mohali"
"437","bat","Kolkata Knight Riders","Subrata Roy Sahara Stadium"
"438","field","Delhi Daredevils","Feroz Shah Kotla"
"439","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"440","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"441","field","Kolkata Knight Riders","JSCA International Stadium Complex"
"442","field","Rajasthan Royals","Sawai Mansingh Stadium"
"443","field","Kings XI Punjab","Feroz Shah Kotla"
"444","bat","Sunrisers Hyderabad","Wankhede Stadium"
